,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
0,1,CAS,GENTLEWOMAN 50,CB,5s,LEAD BROWN-a; V ARNE~c (FIRST SINCE HER ARRIVAL IN ENGLAND). SL VN BROWN-a; CN VC JONES-g; CN BN HEBDEN.,GA,,For widow gentlewoman under misfortunes. From 21 Dec 1749.,1750-01-11 18:00:00
1,2,R,RANELAGH 50,GS,,V FRASI~ BEARD.,GA,,And breakfast. [And subsequently on Mondays and Thursdays to 3 May; not listed.],1750-02-12 12:00:00
2,3,HAY,HAYMARKET 50,MI,PB 10s 6d; G 5s,,GA,,Entertainment of vocal and instrumental musick.,1750-02-15 18:00:00
3,4,H,BROWN-a 50,CB,5s,V FRASI~ GALLI~. CN HPD BUTLER; CN VC JONES-g; CN BN HEBDEN; SL VN BROWN-a; CN VN BROWN-a <CNS>.,GA,,,1750-02-19 19:00:00
4,5,H,MANFREDINI 50 3RD,CS,5s for non-subscribers,V GALLI~ ARNE-m <SON> MANFREDINI.,GA,,Manfredini's musical entertainments: third. [First and second not found.],1750-02-20 19:00:00
5,6,H,STEVENSON~ 50,CB,5s,V GALLI~ STEVENSON~ LOWE.,GA,,,1750-02-22 19:00:00
6,7,KA,SANGUINETTI AND SIPRUTINI 50,CB,5s,[SANGUINETTI.] LEAD JACKSON-1; V GUADAGNI <GAETANO_GUADAGNI>. SL VN JACKSON-1; SL VC SIPRUTINI; CN ORG BURNEY-c.,GA,,With ball.,1750-02-26 18:30:00
7,8,H,MANFREDINI 50 4TH ?,CS,5s for non-subscribers,V GALLI~ ARNE~c ARNE-m <MASTER> MANFREDINI.,GA,,Manfredini's musical entertainment.,1750-02-27 19:00:00
8,9,CG,CG ORATORIO 50 [1ST],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^SAUL^ <ORATORIO>. V REINHOLD-ht LOWE GUADAGNI GALLI~ FRASI~.,GA,Burrows-Harris 265-7,[LS.],1750-03-02 18:30:00
9,10,H,MANFREDINI 50 5TH ?,CS,5s for non-subscribers,[MANFREDINI.],GA,,Manfredini's musical entertainments: last.,1750-03-06 19:00:00
10,11,CG,CG ORATORIO 50 [2ND],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^SAUL^ <ORATORIO>. V REINHOLD-ht LOWE GUADAGNI GALLI~ FRASI~.,GA,Burrows-Harris 266-7,[LS.],1750-03-07 18:30:00
11,12,CG,CG ORATORIO 50 [3RD],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JUDAS_MACCABAEUS^ <ORATORIO>.,GA,,[LS; Burrows-Harris 267.],1750-03-09 18:30:00
12,13,H,BIDDLE~ 50,CB,10s 6d,V GALLI~; HPD BIDDLE~.,GA 3 Mar,,,1750-03-10 19:00:00
13,14,CAS,CASTLE 50,SOC,,,GA 27 Feb (advert for Miss Turner's benefit),,Castle Concert. From ?,
14,15,CG,CG ORATORIO 50 [4TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^JUDAS_MACCABAEUS^ <ORATORIO>.,GA,See Deutsch-Handel 683-4,[LS; Burrows-Harris 267.],1750-03-14 18:30:00
15,16,CG,CG ORATORIO 50 [5TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^THEODORA^ <ORATORIO> (NEW). V REINHOLD-ht GUADAGNI LOWE FRASI~ GALLI~. CN ORG (NEW).,GA,Burrows-Harris 267-9,[LS; Deutsch-Handel 683 (with cast).],1750-03-16 18:30:00
16,17,CAS,TURNER~e 50,CB,5s,V TURNER~e TURNER~1.,GA; GA 27 Feb,,From 12 Mar (Castle Concert).,1750-03-20 19:00:00
17,18,CG,CG ORATORIO 50 [6TH],OS,PB 10s 6d; FG 5s; SG 3s 6d,handel o ^THEODORA^ <ORATORIO> (NEW). CN ORG (NEW).,GA,Burrows-Harris 269,[LS.],1750-03-21 18:30:00
