,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN
0,,,,,,,,,,,,,,BROWN-a,,,,,,,1,,,,,True,,ARNE~c,,,,,
0,,,,,,,,,,,,,,,,,,,,,2,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,BEARD,,,,,
0,,,,,,,,,,,,,,,,,,,,,4,,,,,,,FRASI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,GALLI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,5,,,,,,,GALLI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,ARNE-m,,,,,
2,,,,,,,,,,,,,,,,,,,,,5,,,,,,,MANFREDINI,,,,,
0,,,,,,,,,,,,,,,,,,,,,6,,,,,,,GALLI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,6,,,,,,,STEVENSON~,,,,,
2,,,,,,,,,,,,,,,,,,,,,6,,,,,,,LOWE,,,,,
0,,,,,,,,,,,,,,JACKSON-1,,,,,,,7,,,,,,,GUADAGNI,,,,,
0,,,,,,,,,,,,,,,,,,,,,8,,,,,,,GALLI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,8,,,,,,,ARNE~c,,,,,
2,,,,,,,,,,,,,,,,,,,,,8,,,,,,,ARNE-m,,,,,
3,,,,,,,,,,,,,,,,,,,,,8,,,,,,,MANFREDINI,,,,,
0,,,,,,,,,,,,,,,,,,,,,9,,,,,,,REINHOLD-ht,,,,,
1,,,,,,,,,,,,,,,,,,,,,9,,,,,,,LOWE,,,,,
2,,,,,,,,,,,,,,,,,,,,,9,,,,,,,GUADAGNI,,,,,
3,,,,,,,,,,,,,,,,,,,,,9,,,,,,,GALLI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,9,,,,,,,FRASI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,11,,,,,,,REINHOLD-ht,,,,,
1,,,,,,,,,,,,,,,,,,,,,11,,,,,,,LOWE,,,,,
2,,,,,,,,,,,,,,,,,,,,,11,,,,,,,GUADAGNI,,,,,
3,,,,,,,,,,,,,,,,,,,,,11,,,,,,,GALLI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,11,,,,,,,FRASI~,,,,,
0,,,,,,,,,,,,BIDDLE~,,,,,,,,,13,,,,,,,GALLI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,16,,,,,,,REINHOLD-ht,,,,,
1,,,,,,,,,,,,,,,,,,,,,16,,,,,,,GUADAGNI,,,,,
2,,,,,,,,,,,,,,,,,,,,,16,,,,,,,LOWE,,,,,
3,,,,,,,,,,,,,,,,,,,,,16,,,,,,,FRASI~,,,,,
4,,,,,,,,,,,,,,,,,,,,,16,,,,,,,GALLI~,,,,,
0,,,,,,,,,,,,,,,,,,,,,17,,,,,,,TURNER~e,,,,,
1,,,,,,,,,,,,,,,,,,,,,17,,,,,,,TURNER~1,,,,,
0,,,,,,,,,,,,,,,,,,,,,20,,,,,True,,GALLI~,,,,,
1,,,,,,,,,,,,,,,,,,,,,20,,,,,,,ARNE~c,,,,,
0,,,,,,,,,,,,,,BROWN-a,,,,,,,21,,,,,True,,GUADAGNI,,,,,
0,,,,,,,,,,,,,CATTANEI,,,,,,,,22,,,,,,,GIACOMAZZI~m,,,,,
0,,,,,,,,,,,,,,,,,,,,,23,,,,,True,,GALLI~,,,,,
