Num,BN,CL,COND,DB,DBDR,DBN,DDR,DIR,FL,HN,HP,HPD,I,LEAD,MAND,MGL,MOVT,MOVTS,MS,NEW,No,OB,ORCH,ORG,PF,REVIEW,TPT,V,VA,VAR,VC,VDAG,VN,GU,PSALTERY
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,,1.0,,,,,False,,ARNE~c,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,BEARD,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,FRASI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,GALLI~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,GALLI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,ARNE-m,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,MANFREDINI,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,GALLI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,STEVENSON~,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,LOWE,,,,,,,
0.0,,,,,,,,,,,,,,JACKSON-1,,,,,,,7.0,,,,,,,GUADAGNI,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,GALLI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,ARNE~c,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,ARNE-m,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,MANFREDINI,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,REINHOLD-ht,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,LOWE,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,GUADAGNI,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,GALLI~,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,FRASI~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,REINHOLD-ht,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,LOWE,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,GUADAGNI,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,GALLI~,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,FRASI~,,,,,,,
0.0,,,,,,,,,,,,BIDDLE~,,,,,,,,,13.0,,,,,,,GALLI~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,REINHOLD-ht,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,GUADAGNI,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,LOWE,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,FRASI~,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,GALLI~,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,TURNER~e,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,TURNER~1,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,20.0,,,,,False,,GALLI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,20.0,,,,,False,,ARNE~c,,,,,,,
0.0,,,,,,,,,,,,,,BROWN-a,,,,,,,21.0,,,,,False,,GUADAGNI,,,,,,,
0.0,,,,,,,,,,,,,CATTANEI,,,,,,,,22.0,,,,,,,GIACOMAZZI~m,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,23.0,,,,,False,,GALLI~,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,23.0,,,,,False,,ARNE~c,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,23.0,,,,,False,,BEARD,,,,,,,
