,Composer,From,Genre,No,Title_of_Piece,Instrument_Num,Instrument,Performer
0,0,0,SL,1,0,0,VN,BROWN-a
1,0,0,CN,1,0,0,VC,JONES-g
2,0,0,CN,1,0,0,BN,HEBDEN
3,0,0,CN,4,0,0,HPD,BUTLER
4,0,0,CN,4,0,0,VC,JONES-g
5,0,0,CN,4,0,0,BN,HEBDEN
6,0,0,SL,4,0,0,VN,BROWN-a
7,0,0,CN,4,0,0,VN,BROWN-a
8,0,0,SL,7,0,0,VN,JACKSON-1
9,0,0,SL,7,0,0,VC,SIPRUTINI
10,0,0,CN,7,0,0,ORG,BURNEY-c
11,HANDEL,0,O,9,^SAUL^,0,0.0,0.0
12,HANDEL,0,O,11,^SAUL^,0,0.0,0.0
13,HANDEL,0,O,12,^JUDAS_MACCABAEUS^,0,0.0,0.0
14,HANDEL,0,O,15,^JUDAS_MACCABAEUS^,0,0.0,0.0
15,HANDEL,0,O,16,^THEODORA^,0,0.0,0.0
16,0,0,CN,16,0,0,0.0,0.0
17,HANDEL,0,O,18,^THEODORA^,0,0.0,0.0
18,0,0,CN,18,0,0,0.0,0.0
19,HANDEL,0,O,19,^THEODORA^,0,0.0,0.0
20,0,0,CN,19,0,0,0.0,0.0
21,0,0,CN,20,'EPHIPHANY',0,0.0,0.0
22,0,0,CN,20,'EASTER',0,0.0,0.0
23,0,0,CN,20,0,0,0.0,?TRBN
24,0,0,SL,20,0,0,VC,LE_LONG
25,0,0,CN,20,0,0,BN,MILLER-j
26,0,0,DT,21,0,0,HP,PARRY-j
27,0,0,DT,21,0,1,HP,GWYNN
28,PIECE,0,0,21,0,0,HP,PARRY-j
29,BOYCE,0,O,23,^SOLOMON^,0,0.0,0.0
30,BETWEEN,0,CN,23,0,0,VC,JONES-g
31,HANDEL,0,O,24,^JUDAS_MACCABAEUS^,0,0.0,0.0
32,SCARLATTI-D,0,LSN,25,0,0,HPD,FREDERICK~
33,HANDEL,0,CN,25,0,0,HPD,FREDERICK~
34,0,0,SL,26,0,0,VN,JACKSON-1
35,0,0,CN,26,0,0,VC,HEBDEN
36,0,0,SL,26,0,0,FL,LAWSON
37,0,0,CN,26,0,0,BN,MILLER-j
38,HANDEL,0,O,27,^JUDAS_MACCABAEUS^,0,0.0,0.0
39,HASSE,0,O,28,0,0,0.0,0.0
40,0,0,CN,30,0,0,BN,MILLER-j
41,0,0,SL,30,0,0,VC,GORDON
42,0,0,CN,30,0,0,FL,LAWSON
43,0,0,CN,30,0,0,TPT,SNOW-v
44,PIECE,0,0,30,0,0,HPD,SNOW-J
45,ARNE-TA,0,O,30,^ODE_TO_CHEARFULNESS^,0,0.0,0.0
46,HANDEL,0,O,31,^SAMSON^,0,0.0,0.0
47,HANDEL,0,O,32,^SAMSON^,0,0.0,0.0
48,CIAMPI,0,OV,35,0,0,0.0,0.0
49,TERRADELLAS,0,SG,35,'JO_SON_QUELL',0,0.0,GIACOMAZZI~M
50,COCCHI,0,SG,35,'DILLE_CHE',0,0.0,LASCHI
51,ARAIA,0,SG,35,'QUESTO_CORE',0,0.0,GALLI~
52,0,0,CN,35,0,0,vc,PASQUALINO
53,CIAMPI,0,SG,35,'LE_DOLCEZZE',0,0.0,GUADAGNI
54,CIAMPI,0,SG,35,'INFELICE_IN_VAN',0,0.0,FRASI~
55,0,0,CN,35,0,0,vn,DUBOURG
56,CIAMPI,0,SG,35,'QUAL_NOCCHIERO',0,0.0,MELLINI~
57,CIAMPI,0,SG,35,'DAL_LABRO',0,0.0,GIACOMAZZI~M
58,CIAMPI,0,SG,35,'OH_DIO',0,0.0,FRASI~
59,0,0,CN,35,0,0,bn,MILLER-j
