0,1,2,3,4,No
0.0,7.0,14.0,,,35
0.0,1.0,3.0,5.0,7.0,48
0.0,7.0,13.0,,,63
0.0,6.0,,,,70
0.0,6.0,12.0,,,92
0.0,7.0,,,,96
0.0,7.0,,,,98
0.0,7.0,,,,104
0.0,7.0,,,,112
0.0,7.0,,,,113
0.0,7.0,,,,115
0.0,6.0,,,,117
0.0,7.0,,,,118
0.0,7.0,,,,121
0.0,5.0,,,,122
0.0,7.0,,,,124
0.0,7.0,,,,126
0.0,6.0,,,,128
0.0,7.0,,,,130
0.0,7.0,,,,134
0.0,7.0,,,,140
0.0,6.0,,,,144
0.0,7.0,,,,150
0.0,6.0,,,,152
1.0,,,,,156
0.0,6.0,,,,159
0.0,9.0,,,,162
0.0,7.0,,,,165
0.0,6.0,13.0,,,166
0.0,6.0,,,,169
0.0,7.0,,,,170
0.0,7.0,,,,175
0.0,7.0,,,,178
0.0,6.0,12.0,,,179
0.0,5.0,,,,180
0.0,7.0,,,,182
0.0,4.0,8.0,,,185
0.0,4.0,,,,192
0.0,7.0,,,,200
0.0,7.0,,,,202
0.0,7.0,,,,203
0.0,7.0,,,,205
0.0,7.0,,,,207
0.0,4.0,,,,210
0.0,7.0,,,,211
0.0,7.0,,,,215
0.0,6.0,,,,216
0.0,7.0,,,,219
0.0,7.0,,,,221
1.0,5.0,9.0,,,223
0.0,7.0,,,,225
0.0,6.0,,,,226
0.0,8.0,,,,229
0.0,7.0,,,,231
1.0,7.0,,,,233
0.0,6.0,,,,236
0.0,7.0,,,,238
0.0,6.0,,,,242
0.0,7.0,,,,245
0.0,5.0,8.0,,,252
1.0,7.0,,,,254
0.0,6.0,12.0,,,260
0.0,7.0,,,,263
0.0,6.0,,,,268
0.0,8.0,,,,280
3.0,9.0,,,,285
0.0,5.0,,,,286
0.0,6.0,,,,289
0.0,5.0,,,,290
0.0,7.0,,,,293
0.0,6.0,12.0,,,294
4.0,,,,,310
0.0,7.0,,,,315
0.0,6.0,,,,345
3.0,,,,,354
3.0,,,,,357
0.0,7.0,13.0,,,359
0.0,7.0,,,,403
0.0,6.0,13.0,,,426
0.0,4.0,,,,433
0.0,1.0,,,,436
0.0,7.0,13.0,,,471
0.0,5.0,6.0,,,516
0.0,7.0,14.0,,,525
0.0,7.0,10.0,,,588
0.0,7.0,,,,611
0.0,4.0,,,,614
0.0,6.0,,,,618
0.0,6.0,,,,621
0.0,5.0,,,,635
3.0,,,,,655
0.0,6.0,,,,688
0.0,10.0,,,,697
0.0,6.0,11.0,,,707
0.0,7.0,,,,713
0.0,4.0,,,,772
0.0,6.0,12.0,,,784
0.0,6.0,12.0,,,834
4.0,,,,,842
0.0,7.0,8.0,,,848
0.0,5.0,8.0,,,850
1.0,8.0,,,,867
0.0,6.0,,,,868
0.0,4.0,,,,898
0.0,3.0,7.0,,,902
1.0,8.0,,,,1021
0.0,6.0,12.0,,,1030
0.0,2.0,,,,1044
0.0,3.0,,,,1170
0.0,2.0,,,,1206
0.0,5.0,11.0,,,1208
0.0,8.0,15.0,,,1214
0.0,4.0,14.0,,,1223
0.0,6.0,,,,1243
0.0,3.0,5.0,,,1257
0.0,7.0,,,,1293
0.0,,,,,1309
0.0,5.0,10.0,,,1337
0.0,5.0,12.0,,,1440
0.0,5.0,,,,1503
0.0,5.0,10.0,,,1552
0.0,2.0,4.0,,,1574
0.0,3.0,5.0,,,1586
0.0,2.0,4.0,6.0,,1588
0.0,5.0,,,,1590
0.0,5.0,12.0,,,1630
1.0,3.0,5.0,,,1640
1.0,4.0,6.0,8.0,,1656
0.0,8.0,10.0,,,1659
0.0,8.0,10.0,,,1664
0.0,5.0,,,,1671
0.0,6.0,,,,1687
0.0,8.0,,,,1696
0.0,7.0,,,,1698
0.0,8.0,,,,1708
0.0,6.0,13.0,,,1746
0.0,2.0,,,,1804
0.0,7.0,,,,1807
0.0,4.0,10.0,,,1842
0.0,6.0,,,,1917
0.0,5.0,10.0,,,1941
0.0,6.0,,,,1944
0.0,2.0,4.0,,,1961
0.0,1.0,2.0,,,1972
0.0,6.0,,,,1998
